filename,char_count,word_count,classification,ai_probability,analysis_reason,has_duplicates,duplicate_pairs,duplicate_ratio,high_ai_segments,segment_details,contributing_factors,roberta_label,binocular_confidence,human_probability
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,7429,1045,AI_text,0.5000,Binoculars score clearly below threshold,No,,0.0%,5 of 7,"High AI in segments: [1, 3, 4, 5, 7]",Binoculars score: 0.8268; Threshold: 0.92; High-AI segments: 5/7,AI-written,0.8268,0.5000
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,8419,1182,AI_text,0.5000,Duplicate paragraphs detected,Yes,p28-p31; p29-p32; p30-p33,9.1%,6 of 8,"High AI in segments: [1, 3, 4, 5, 7, 8]",Binoculars score: 0.8451; Threshold: 0.92; Duplicate paragraph pairs: 3; High-AI segments: 6/8,AI-written,0.8451,0.5000
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,2693,428,AI_text,0.5000,Binoculars score far below threshold,No,,0.0%,3 of 3,All segments show high AI probability,Binoculars score: 0.7152; Threshold: 0.92; High-AI segments: 3/3,AI-written,0.7152,0.5000
HumanWritten_Sample1_ParisTravelIntro.txt,4360,796,AI_text,0.5000,Binoculars score far below threshold,No,,0.0%,6 of 6,All segments show high AI probability,Binoculars score: 0.8059; Threshold: 0.92; High-AI segments: 6/6,AI-written,0.8059,0.5000
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,2545,439,AI_text,0.5000,Binoculars score far below threshold,No,,0.0%,3 of 3,All segments show high AI probability,Binoculars score: 0.7992; Threshold: 0.92; High-AI segments: 3/3,AI-written,0.7992,0.5000
