filename,char_count,word_count,classification,ai_probability,analysis_reason,has_duplicates,duplicate_ratio,high_ai_segments,segment_details,contributing_factors,roberta_label,roberta_confidence,human_probability
AIWritten_Sample2_ChinaAdvancementInRecentYears.txt,7429,1045,AI_text,0.5000,Uniformly low Binoculars score across all paragraphs,No,0.0%,1/1,All paragraphs flagged as AI,Binoculars score: 0.8268; Threshold: 0.92; AI paragraphs: 1/1,AI-written,0.8268,0.5000
AIWritten_Sample5_ChinaAdvancementInRecentYears_WDuplicate.txt,8419,1182,AI_text,0.5000,High duplicate paragraph content detected,Yes,18.8%,9/16,"AI paragraphs: ['p1', 'p2', 'p4', 'p5', 'p8', 'p12', 'p13', 'p15', 'p16']",Binoculars score: 0.8451; Threshold: 0.92; AI paragraphs: 9/16; Duplicate paragraph pairs: 3,AI-written,0.8451,0.5000
AIWritten_sample4_WilliamFaulkner_NobelCommittee.txt,2693,428,AI_text,0.5000,Uniformly low Binoculars score across all paragraphs,No,0.0%,5/5,All paragraphs flagged as AI,Binoculars score: 0.7152; Threshold: 0.92; AI paragraphs: 5/5,AI-written,0.7152,0.5000
HumanWritten_Sample1_ParisTravelIntro.txt,4371,799,AI_text,0.5000,High duplicate paragraph content detected,Yes,16.7%,6/6,All paragraphs flagged as AI,Binoculars score: 0.8059; Threshold: 0.92; AI paragraphs: 6/6; Duplicate paragraph pairs: 1,AI-written,0.8059,0.5000
Humanwritten_sample3_WilliamFaulkner_NobelCommittee.txt,2545,439,AI_text,0.5000,Uniformly low Binoculars score across all paragraphs,No,0.0%,3/3,All paragraphs flagged as AI,Binoculars score: 0.7992; Threshold: 0.92; AI paragraphs: 3/3,AI-written,0.7992,0.5000
