filename,word_count,char_count,model,binoculars_score,threshold,classification,ai_probability,human_probability
prompt3generateHTMLFormatv001.txt,176,1176,large,0.6948,0.85,AI-written,0.5000,0.5000
prompt3generateHTMLFormatv002.txt,116,819,large,0.8965,0.85,Human-written,0.1901,0.8099
prompt3generateHTMLFormatv003.txt,326,2261,large,0.7393,0.85,AI-written,0.5000,0.5000
prompt3generateHTMLFormatv004.txt,250,1795,large,0.8984,0.85,Human-written,0.1771,0.8229
prompt3generateHTMLFormatv005.txt,640,4248,large,0.7979,0.85,AI-written,0.5000,0.5000
